"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"height_default"
Nord;;4101;Gebäude 418;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";113;23;8;1970;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458754.535;5439759.232;118
Nord;;1194;Präsidium;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";157;20;15;1960;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"01";3458270.90312559;5439695.50947556;118
Nord;;1251;Gebäude 142;Rot-Eiche;Quercus rubra;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";188;24;16;1965;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"3-ausladend";;;"01";3458229.05625108;5439736.74495118;118
Ost;"70.30";44;NO;Rot-Eiche;Quercus rubra;Einzelbaum;;"19.11.2019";"2020 Q3";Holzheuer;"3-wiederherstellbar";"1-höher";"2-geschwächt";"4-Schadbaum";217;18;15;1965;"01-Verletzung | 02-Höhlung";"3-erhebliche Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung | 07-Totholz";"2-deutliche Schäden";"1-normal";;;CO;3458687.70812637;5431796.01247089;118
Ost;"70.16";197;NW;Hainbuche;Carpinus betulus;Einzelbaum;;"05.02.2019";"2020 Q3";R.Kastner;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";113;16;12;1980;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;CO;3458339.773126;5431939.89147099;118
Nord;;6294;Gebäude 691;Hainbuche;Carpinus betulus;Einzelbaum;;"09.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";88;10;9;1990;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"06";3458869.831;5440502.701;118
Nord;;3091;Gebäude 305;Hainbuche;Carpinus betulus;Einzelbaum;;"23.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";104;19;9;1970;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";"2-einseitig";;;"03";3458272.049;5439877.219;118
Nord;;2037;Kantine;Hainbuche;Carpinus betulus;Einzelbaum;;"19.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";91;13;8;1990;;"0-keine Schäden";"02-Höhlung | 11-Stamm- Stockaustriebe";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"02";3458396.116;5439442.677;118
Nord;;7071;Gebäude 712;Linde;Tilia x;Einzelbaum;;"11.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";94;15;10;1980;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"07";3458420.846;5440660.642;118
Nord;;65;Turm;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"09.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";236;23;14;1950;;"0-keine Schäden";"05-V-Vergabelung | 10-Baumfremder Bewuchs";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"00";3458632.69012593;5440438.44047599;118
Nord;;4190;Blankenlocher Straße;Douglasie;Pseudotsuga menziesii;Einzelbaum;;"27.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";113;16;7;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458732.366;5439852.261;118
Nord;;2004;Kantine;Tulpenbaum;Liriodendron;Einzelbaum;;"19.09.2019";"2021 Q1";Zapf;"3-wiederherstellbar";"1-höher";"2-geschwächt";"2-Erwachsener Baum";129;19;8;1970;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"07-Totholz | 10-Kappung";"2-deutliche Schäden";"4-reduziert";;;"02";3458320.87212565;5439442.88547541;118
Nord;;4316;Gebäude 451;Berg-Ahorn;Acer pseudoplatanus;Einzelbaum;;"27.09.2019";"2020 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"4-Schadbaum";119;19;11;1970;;"0-keine Schäden";"02-Höhlung";"3-erhebliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"04";3458771.253;5439987.532;118
Nord;;2267;Neureuter Straße;Vogel-, Süss-Kirsche;Prunus avium;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";97;6;8;1985;"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"02";3458646.604;5439663.719;118
Nord;;4392;Gebäude 441;Europ. Lärche;Larix decidua;Einzelbaum;;"25.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";104;23;6;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458545.47912586;5440036.29747576;118
Ost;"70.22";153;N;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"04.02.2019";"2020 Q3";R.Kastner;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";69;9;6;2000;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;CO;3458596.29512627;5432069.95447105;118
Nord;;1147;Gebäude 152;Amerikanische Amberbaum;Liquidambar styraciflua;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";38;8;5;2005;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"01";3458161.04645291;5439825.45175167;118
Nord;;6247;Gebäude 687;Rotbuche;Fagus sylvatica;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"3-geringer";"2-geschwächt";"2-Erwachsener Baum";114;17;7;1950;"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"2-einseitig";;;"06";3458840.233;5440595.975;118
Nord;;4181;Gebäude 424;Rot-Fichte;Picea abies;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";101;16;7;1990;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458618.853;5439865.417;118
Nord;;3200;Bolzplatz ;Berg-Ahorn;Acer pseudoplatanus;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"2-geschwächt";"2-Erwachsener Baum";119;18;14;1975;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"03";3458298.4081256;5439997.78247574;118
Nord;;7108;Gebäude 755;Stiel-Eiche;Quercus robur;Einzelbaum;;"11.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";107;15;14;1980;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"3-ausladend";;;"07";3458377.014;5440750.038;118
